Order_ID,Customer_Name,Email,Phone_Number,Gender,Age,City,State,Country,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Order_Date,Payment_Method,Delivery_Status,Customer_Rating,Sales_Representative,Discount_Percentage
ORD100000,Aarav Verma,aarav.verma8936@gmail.com,ABCDE12345,Other,35,Visakhapatnam,Andra Pradesh,India,Clothing,,8,3935.64,22039.58,12-Apr-2024,Credit Card,Shipped,3.0,Sita Reddy,30.0
ORD100001,Arjun Johnson,arjun.johnson7528@gmail.com,+88525138707,Other,28,Toronto,Ontario,Canada,Electronics,Laptop,2,123902.86,173464.0,11-Dec-2024,Debit Card,Processing,2.0,John Miller,30.0
ORD100002,Liam Anderson,liam.anderson7574@company.com,+919974524834,male,43,Singapore,Central Region,Singapore,Electronics,Laptop,6,129507.3,777043.8,24/02/2025,PayPal,Cancelled,2.0,John Miller,0.0
ORD100003,Meena Wilson,meena.wilson6544@outlook.com,+916594130308,Other,53,Chennai,Tamil Nadu,India,Clothing,Jeans,7,3333.65,19835.22,2026/01/04,Wallet,Delivered,,Sita Reddy,15.0
ORD100004,David Verma,david.verma2592@company.com,+919101361778,Female,52,New York,New York,USA,Healthcare,Vitamin Tablets,5,1325.2,5300.8,03-30-2024,Wallet,Returned,1.0,David Brown,20.0
ORD100005,Aarav Kumar,aarav.kumar5039@yahoo.com,+919771022520,male,31,Chennai,Tamil Nadu,India,Electronics,Headphones,3,11651.43,27963.43,2026/05/06,Net Banking,Shipped,,John Miller,20.0
ORD100006,Priya Garcia,priya.garcia1050@outlook.com,+918379074819,Female,52,Vizagapatnam,Andhra Pradesh,India,Electronics,Laptop,1,42751.04,42751.04,12-Dec-2024,Credit Card,Returned,5.0,Rahul Verma,0.0
ORD100007,Pooja Williams,pooja.williams6940@company.com,+919131356954,male,69,Mumbai,Maharashtra,India,Electronics,Laptop,8,57032.86,433449.74,2024-10-14,Wallet,Returned,1.0,Anil Kumar,5.0
ORD100008,David Sharma,david.sharma2725@company.com,+916918037633,,36,Bengaluru,Karnatka,India,Furniture,Bookshelf,8,14030.04,84180.24,11/02/2026,Credit Card,Delivered,5.0,Sara Wilson,25.0
ORD100009,  Nikitha Reddy ,nikitha.reddy8702@yahoo.com,+918181106786,FEMALE,51,Pune,Maharashtra,India,Clothing,Jacket,4,1895.22,7580.88,2025/09/26,Debit Card,Processing,2.0,Emily Davis,0.0
ORD100010,Rahul Singh,rahul.singh1189@gmail.com,+918418039268,FEMALE,18,Chennai,Tamil Nadu,India,Clothing,Kurti,4,2701.16,10264.41,2025/01/30,PayPal,Returned,3.0,Sita Reddy,5.0
ORD100011,Noah Verma,noah.verma4463@outlook.com,+919082120871,male,53,New York,New York,USA,Electronics,Smartphone,5,60497.06,272236.77,08/11/2024,PayPal,Cancelled,5.0,Anil Kumar,10.0
ORD100012,  Sai Wilson ,sai.wilson7042@yahoo.com,+917566166314,Female,74,Bengaluru,Karnataka,India,Clothing,T-Shirt,7,900.25,4726.31,17/09/2024,Cash on Delivery,Delivered,2.0,Emily Davis,25.0
ORD100013,Charlotte Iyer,charlotte.iyer635@company.com,+919507212752,FEMALE,43,Toronto,Ontario,Canada,Clothing,Jeans,4,874.73,3149.03,12-13-2024,PayPal,Returned,3.0,Anil Kumar,10.0
ORD100014,Ishita Gupta,ishita.gupta9775@company.com,+919377683299,male,22,Dubai,Dubai,UAE,Clothing,Kurti,-5,609.97,-2287.39,06-28-2024,PayPal,Processing,5.0,,25.0
ORD100015,Emma Mehta,emma.mehta4845@yahoo.com,+918855850145,male,46,Pune,Maharashtra,India,Healthcare,Vitamin Tablets,4,560.23,1792.74,11-Mar-2025,PayPal,Shipped,5.0,Rahul Verma,20.0
ORD100016,Sophia Patel,sophia.patel1531@yahoo.com,+916964824319,male,33,Dehli,Delhi,India,Furniture,Bed Frame,2,60533.47,90800.21,16-Jul-2025,Credit Card,Delivered,1.0,Kavya Singh,25.0
ORD100017,  Kiran Garcia ,kiran.garcia7479@yahoo.com,+583687809473,Female,71,Chicago,Illinois,USA,Healthcare,First Aid Kit,8,996.8,5980.8,11-28-2025,PayPal,Processing,5.0,Rahul Verma,25.0
ORD100018,  Ishita Garcia ,ishita.garcia5239@gmail.com,+916993260504,male,48,Delhi,Delhi,India,Furniture,Bookshelf,7,8962.47,43916.1,2023/07/01,UPI,Processing,3.0,Kavya Singh,30.0
ORD100019,Charlotte Wilson,charlotte.wilson3614@company.com,+917871901278,FEMALE,60,,England,UK,Furniture,Dining Table,3,55908.82,134181.17,2025/08/05,UPI,Delivered,,Kavya Singh,20.0
ORD100020,  Sneha Gupta ,sneha.gupta5356@outlook.com,+307571012708,Female,30,Manchester,England,UK,Electronics,Headphones,6,1444.82,8668.92,2023-08-12,Wallet,Delivered,5.0,Ravi Sharma,0.0
ORD100021,Pooja Kumar,pooja.kumar6044@yahoo.com,+919212316223,Other,72,Pune,Maharashtra,India,Electronics,Bluetooth Speaker,7,5691.21,29878.85,2024-09-30,PayPal,Returned,1.0,David Brown,25.0
ORD100022,Isabella Wilson,isabella.wilson5591@gmail.com,+541402796396,FEMALE,35,Toronto,Ontario,Canada,Clothing,Jacket,5,2221.42,8885.68,29-Dec-2025,Debit Card,Shipped,1.0,John Miller,20.0
ORD100023,Mia Garcia,mia.garcia8099@outlook.com,+916911047815,male,46,New York,New York,USA,Grocery,Dry Fruits Pack,4,322.33,966.99,25-Sep-2024,Wallet,Delivered,1.0,John Miller,25.0
ORD100024,Diya Mehta,diya.mehta5633@company.com,+364141153357,Other,24,Sydney,New South Wales,Australia,Electronics,Laptop,3,71288.01,160398.02,2026/04/30,Wallet,Shipped,3.0,Meera Nair,25.0
ORD100025,Kavya Sharma,kavya.sharma894@outlook.com,+916542366274,Male,43,Melbourne,Victoria,Australia,Grocery,Tea Powder,6,493.4,2960.4,2026-01-24,Cash on Delivery,Delivered,5.0,Anil Kumar,0.0
ORD100026,Sanjay Mehta,sanjay.mehta6819@yahoo.com,+496554950233,Female,33,Los Angeles,California,USA,Grocery,Dry Fruits Pack,2,1666.26,3165.89,2024-11-13,Credit Card,Returned,1.0,Ravi Sharma,5.0
ORD100027,sneha anderson,sneha.anderson4633@company.com,+917002547591,Male,47,Vijayawada,Andhra Pradesh,India,Clothing,Kurti,2,,3591.81,02-Jan-2025,PayPal,Processing,,Kavya Singh,30.0
ORD100028,Elena Wilson,elena.wilson7079@outlook.com,+916111088881,FEMALE,45,Hyderabad,Telangana,India,Grocery,Dry Fruits Pack,3,388.51,874.15,11/12/2024,PayPal,Cancelled,1.0,Rahul Verma,25.0
ORD100029,Nikitha Smith,nikitha.smith8118@outlook.com,+917719929315,Male,30,Singapore,Central Region,Singapore,Grocery,Wheat Flour,7,336.94,1651.01,23-Dec-2025,Net Banking,Processing,5.0,Rahul Verma,30.0
ORD100030,Vivaan Nair,vivaan.nair7942@gmail.com,+918705925058,male,63,Visakhapatnam,Andhra Pradesh,India,Electronics,Headphones,4,6534.27,26137.08,17/01/2024,Debit Card,Returned,,John Miller,0.0
ORD100031,Pooja Miller,pooja.miller9821@yahoo.com,+848295030873,male,52,Manchester,England,UK,Grocery,Rice Bag,5,1137.39,4549.56,17/02/2026,Cash on Delivery,Processing,3.0,Sara Wilson,
ORD100032,Henry Garcia,henry.garcia3913@company.com,+919330938159,male,24,Chicago,Illinois,USA,Furniture,Sofa Set,3,94038.36,282115.08,2025-03-31,Net Banking,Cancelled,1.0,Ravi Sharma,0.0
ORD100033,Sai Patel,sai.patel6513@gmail.com,+743395153057,male,24,London,England,UK,Furniture,Bed Frame,2,9261.64,13892.46,2024-08-29,Wallet,Delivered,4.0,Ravi Sharma,25.0
ORD100034,James Reddy,james.reddy7057@yahoo.com,+917769748771,Other,60,Pune,Maharashtra,India,Furniture,Bed Frame,8,50037.48,380284.85,23-Oct-2024,UPI,Cancelled,3.0,Sara Wilson,5.0
ORD100035,Sneha Johnson,sneha.johnson4098@company.com,+938955115425,male,71,Visakhapatnam,Andhra Pradesh,India,Grocery,Wheat Flour,7,266.45,1492.12,2023/08/30,Debit Card,Shipped,5.0,Emily Davis,20.0
ORD100036,Ananya Anderson,ananya.anderson2241@gmail.com,+46725684753,FEMALE,35,Sydney,New South Wales,Australia,Clothing,T-Shirt,6,1845.37,10518.61,2025/06/09,Wallet,Shipped,3.0,Rahul Verma,5.0
ORD100037,Ava Smith,ava.smith3697@company.com,+614341033639,Female,48,Londan,England,UK,Furniture,Bookshelf,5,10681.33,37384.65,2025-06-20,UPI,Returned,5.0,Emily Davis,30.0
ORD100038,Mia Patel,mia.patel6690@gmail.com,+916159824875,Female,74,Melbourne,Victoria,Australia,Healthcare,Digital Thermometer,6,705.24,3173.58,2025/09/26,Cash on Delivery,Delivered,4.0,David Brown,25.0
ORD100039,Ishita Reddy,ishita.reddy3869@outlook.com,+918944974316,Female,26,Toronto,Ontario,Canada,Electronics,Smart Watch,4,3654.33,11693.86,09-02-2023,Wallet,Returned,2.0,Sita Reddy,20.0
ORD100040,David Nair,david.nair2418@gmail.com,+916621430136,male,51,Singapore,Central Region,Singapore,Electronics,Laptop,4,36708.94,146835.76,06/09/2023,UPI,Delivered,4.0,Rahul Verma,0.0
ORD100041,Elena Martinez,elena.martinez711@outlook.com,,Female,35,Melbourne,Victoria,Australia,Electronics,Smart Watch,8,18241.43,145931.44,2024-03-20,Net Banking,Returned,5.0,Emily Davis,0.0
ORD100042,Neha Davis,neha.davis1875@yahoo.com,+919814321889,Male,71,Chicago,Illinois,USA,Electronics,Bluetooth Speaker,5,4528.76,21511.61,2026-01-17,UPI,Delivered,4.0,Sita Reddy,5.0
ORD100043,Isabella Singh,isabella.singh5401@gmail.com,+919752115103,Male,40,Manchester,England,UK,Grocery,Dry Fruits Pack,2,987.39,1876.04,02/02/2026,Wallet,Returned,3.0,Sita Reddy,5.0
ORD100044,Sofia Iyer,sofia.iyer9122@gmail.com,+918825363606,Male,23,Newyork,New York,USA,Grocery,Wheat Flour,3,513.27,1231.85,11/10/2023,PayPal,Returned,2.0,Kavya Singh,20.0
